,Unnamed: 0,Name,Latitude,Longitude,Province/Territory_x,ID_NEW,Name2
444,125,Calgary Int'L Cs,51.11,-114.0,AB,PCI,Calgary
445,1151,Camrose,51.11,-114.0,AB,WRV,
446,1196,Prairie River,49.52,-114.0,AB,XPV,
447,684,Dapp Agdm,54.32,-113.95,AB,XDP,Dapp Pibroch
448,106,Busby Agcm,53.93,-113.92,AB,PBB,Busby
449,121,Crestomere Agcm,52.73,-113.9,AB,PCC,Crestomere Parkland Beach
450,954,Red Deer,52.18,-113.89,AB,YQF,Red Deer Penhold
451,232,Thorsby Agcm,53.22,-113.89,AB,PTH,Thorsby Calmar
452,635,Stavely Aafc,50.18,-113.88,AB,WXN,Stavely
453,1215,Suffield,50.18,-113.88,AB,YSD,
454,424,Garden River,58.71,-113.87,AB,WGF,Garden River Fox Lake
455,672,Brocket Agdm,49.62,-113.82,AB,XBR,Brocket Pincher Creek
456,427,Waterton Park Gate,49.13,-113.81,AB,WGM,Waterton Park Gate Waterton Lakes
457,548,Lacombe Cda 2,52.45,-113.76,AB,WQQ,Lacombe
458,360,Inner Whalebacks,61.92,-113.73,NT,WBJ,Inner Whalebacks
459,1656,Jean Marie,61.92,-113.73,NT,XJM,
460,832,Fort Resolution,61.18,-113.69,NT,YFR,Fort Resolution
461,1645,Fort Simpson,61.18,-113.69,NT,XFS,
462,176,Linden Agcm,51.62,-113.66,AB,PLA,Linden Sunnyslope
463,243,Blackie Agcm,50.55,-113.64,AB,PXC,
464,381,Claresholm,50.0,-113.64,AB,WDK,Claresholm
465,173,Keoma Agcm,51.19,-113.63,AB,PKO,
466,223,St. Albert Research Station,53.69,-113.62,AB,PSR,
467,687,Edmonton International Cs,53.31,-113.61,AB,XEG,Edmonton Nisku
468,1163,Edmonton,53.31,-113.61,AB,WSE,
469,239,Wimborne Agcm,51.94,-113.59,AB,PWB,Wimborne
470,1162,Edmonton,53.31,-113.58,AB,YXD,
471,822,Nisku,53.31,-113.58,AB,YEG,Edmonton Nisku
472,163,Island Lake South,54.82,-113.56,AB,PII,
473,110,Bullhorn Headwaters,49.15,-113.55,AB,PBH,Bullhorn Headwaters Mountain View
474,76,Edmonton South Campus,53.49,-113.54,AB,NES,
475,686,Edmonton Blatchford,53.57,-113.52,AB,XEC,
476,129,Glenwood,49.33,-113.52,AB,PCR,Glenwood
477,228,Tawatinaw Agcm,54.3,-113.52,AB,PTA,Tawatinaw
478,179,Legal Agcm,54.0,-113.47,AB,PLF,Legal
479,821,Namao,53.67,-113.47,AB,YED,Edmonton Carbondale
480,240,Wetaskiwin Agcm,52.98,-113.44,AB,PWT,
481,103,Ardenville,49.53,-113.43,AB,PAY,
482,1220,Swan Hills,51.21,-113.4,AB,WAA,
483,100,Athabasca Agcm,54.63,-113.38,AB,PAF,Athabasca Meanook
484,131,Carway,49.0,-113.38,AB,PCY,
485,1636,Fd Point,74.5,-113.38,NT,WCM,
486,145,Fort Macleod Agcm,49.79,-113.38,AB,PFM,Ft Macleod Fort Macleod
487,109,Beiseker Agcm,51.38,-113.36,AB,PBE,Beiseker
488,115,Bullhorn Coulee Reservoir,49.3,-113.36,AB,PBR,Bullhorn Coulee Reservoir Cardston
489,678,Champion Agdm,50.28,-113.35,AB,XCP,Champion Vulcan
490,187,Mossleigh Agcm,50.67,-113.35,AB,PML,Mossleigh Farrow
491,200,Pleasant View,54.96,-113.32,AB,PPY,
492,415,Cardston,49.2,-113.29,AB,WFJ,Cardston
493,224,Strathmore Agdm,51.03,-113.28,AB,PST,Strathmore
494,1219,Sundre A,51.03,-113.28,AB,WAV,
495,105,Barons Agcm,50.03,-113.22,AB,PBA,Barons
496,1737,Loks Land,68.5,-113.22,NU,WLN,
497,1738,Longstaff Bluff,68.47,-113.22,NU,WLX,
498,437,Three Hills,51.77,-113.21,AB,WHI,Three Hills
499,1221,Turtle Mountain,51.77,-113.21,AB,WQA,
500,132,Delburne Agcm,52.18,-113.18,AB,PDA,Delburne
501,191,New Serepta Agcm,53.26,-113.17,AB,PNS,New Serepta New Sarepta
502,1158,Coronation,53.43,-113.12,AB,YCT,
503,189,St. Mary Reservoir,49.36,-113.11,AB,PMR,St. Mary Reservoir Magrath
504,117,Blood Tribe Agdm,49.57,-113.05,AB,PBT,Blood Tribe Magrath
505,172,Kinikinik,54.56,-112.98,AB,PKK,
506,218,Standard Agcm,51.23,-112.98,AB,PSD,Standard Rosebud
507,1214,Strathmore,51.23,-112.98,AB,XSM,
508,657,Abee Agdm,54.28,-112.97,AB,XAF,Abee Newbrook
509,153,Gleichen Agcm,50.93,-112.94,AB,PGI,Gleichen Standard
510,215,Radway Agcm,54.0,-112.88,AB,PRW,Radway Waskatenau
511,412,Elk Island Nat Park,53.68,-112.87,AB,WFE,Elk Island National Park Lamont
512,140,Ferintosh Agcm,52.74,-112.86,AB,PFA,Ferintosh Edberg
513,233,Travers Agcm,50.3,-112.86,AB,PTR,Travers Lomond
514,1222,Valley View,50.3,-112.86,AB,XVW,
515,659,Atmore Agdm,54.78,-112.83,AB,XAJ,Atmore Grassland
516,563,Camrose,53.04,-112.82,AB,WRY,Milk River
517,680,Del Bonita Agdm,49.05,-112.82,AB,XDB,Del Bonita
518,119,Big Valley Agcm,52.0,-112.8,AB,PBY,
519,1148,Bonnyville,52.0,-112.8,AB,YBF,
520,961,Lethbridge,49.63,-112.8,AB,YQL,Lethbridge
521,1328,Lillooet,49.63,-112.8,BC,YLI,
522,203,Queenstown,50.6,-112.8,AB,PQU,Queenston Milo
523,546,Lethbridge Cda,49.68,-112.77,AB,WQL,Lethbridge
524,248,Lethbridge Agtech Agcm,49.65,-112.76,AB,PXZ,
525,202,Lethbridge Demo Farm Agdm,49.68,-112.75,AB,PQL,
526,165,Iron Springs Agdm,49.9,-112.73,AB,PIR,Iron Springs Picture Butte
527,1186,Jasper,49.9,-112.73,AB,WJA,
528,391,Drumheller East,51.45,-112.68,AB,WDZ,Drumheller East
529,1159,Edmonton,51.45,-112.68,AB,WEG,
530,721,Morrin Agdm,51.66,-112.68,AB,XMO,Morrin
531,216,Raymond Agdm,49.48,-112.68,AB,PRY,Raymond
532,660,Stettler Agdm,52.35,-112.6,AB,XAK,Stettler Botha
533,213,Milk River Ridge Reservoir,49.28,-112.54,AB,PRR,Milk River Ridge Reservoir New Dayton
534,219,Shonts Agcm,53.33,-112.54,AB,PSH,
535,706,Hussar Agdm,51.18,-112.5,AB,XHR,Hussar East Coulee
536,747,Smoky Lake Agdm,54.28,-112.5,AB,XSL,Smoky Lake
537,116,Bassano Agcm,50.89,-112.47,AB,PBS,Bassano
538,137,Enchant Agdm,50.18,-112.43,AB,PEH,Enchant
539,211,Rosalind Agcm,52.78,-112.43,AB,PRL,Rosalind
540,673,Barnwell Agdm,49.8,-112.3,AB,XBW,Barnwell
541,255,Lathom Agcm,50.6,-112.3,AB,PZL,
542,658,Andrew Agdm,53.92,-112.28,AB,XAG,Andrew
543,155,Gladstone Agcm,52.99,-112.28,AB,PGT,
544,127,Craigmyle Agcm,51.78,-112.25,AB,PCM,Craigmyle
545,701,Holden Agdm,53.19,-112.25,AB,XHD,Holden
546,85,Cape Providence,74.46,-112.16,NT,NPY,
547,156,Halkirk Agcm,52.12,-112.16,AB,PHA,Halkirk
548,257,Warner Agcm,49.28,-112.16,AB,PZW,
549,244,Hand Hills Agcm,51.45,-112.14,AB,PXH,
550,608,Vauxhall Cda Cs,50.05,-112.13,AB,WYO,Wynward Wynyard
551,1238,Addenbroke Island,49.5,-112.12,BC,WCZ,
552,146,Forestburg Agcm,52.55,-112.12,AB,PFO,Forestburg
553,1178,Fort Chipewyan,52.55,-112.12,AB,WPY,
554,207,Rainier Agcm,50.37,-112.12,AB,PRE,
555,764,Wrentham Agdm,49.5,-112.12,AB,XWM,Wrentham New Dayton
556,143,Finnegan Agcm,51.05,-112.1,AB,PFF,
557,605,Vegreville,53.51,-112.1,AB,WYI,Pools Island Valleyfield
558,1229,Vilna,53.51,-112.1,AB,PVI,
559,212,Rosemary Agdm,50.83,-112.05,AB,PRO,Rosemary
560,1205,Schuler,50.83,-112.05,AB,XBU,
561,144,Fincastle Agdm,49.8,-112.03,AB,PFI,Fincastle Taber
562,481,Lac La Biche Climate,54.77,-112.02,AB,WLB,Lac La Biche
563,222,Sweetgrass Landing,58.85,-112.0,AB,PSQ,
564,1650,Haldane River,60.02,-111.97,NT,WNW,
565,988,Fort Smith,60.02,-111.96,NT,YSM,Fort Smith
566,1649,Gray Lake ,60.02,-111.96,NT,WJP,
567,238,Verger,50.9,-111.96,AB,PYR,
568,1648,Fort Smith,60.03,-111.93,NT,XAC,
569,237,Vilna Agcm,54.13,-111.92,AB,PYI,
570,711,Killam Agdm,52.85,-111.87,AB,XKM,Killam
571,1188,Lac La Biche,52.85,-111.87,AB,YLB,
572,363,Brooks,50.56,-111.85,AB,WBO,Brooks
573,182,Ispas,53.85,-111.84,AB,PLY,
574,142,Fleet Agcm,52.04,-111.81,AB,PFE,
575,98,Alliance Agcm,52.32,-111.78,AB,PAA,Alliance Castor
576,154,Grassy Lake,49.87,-111.73,AB,PGL,Grassy Lake Bow Island
577,193,Ranfurly Auto,53.42,-111.73,AB,PNX,
578,236,Viking Agcm,53.18,-111.73,AB,PYA,
579,734,Pollockville Agdm,51.13,-111.71,AB,XPL,Pollockville Sheerness
580,1197,Primrose Lake,51.13,-111.71,AB,WOU,
581,1181,Fort Vermillion,57.38,-111.7,AB,XFV,
582,743,Rich Lake Agdm,54.5,-111.7,AB,XRL,Rich Lake Craigend
583,1202,Rocky Mountain House,54.5,-111.7,AB,YRM,
584,209,Rolling Hills Agcm,50.27,-111.7,AB,PRH,Rolling Hills Tilley
585,1501,Edmundston,54.13,-111.68,NB,YES,
586,1198,Primrose Lake,58.63,-111.68,AB,WIQ,
587,221,Spondin Agcm,51.82,-111.68,AB,PSP,Spondin Dowling
588,750,Two Hills Agdm,53.63,-111.68,AB,XTH,Two Hills
589,1224,Vegreville,53.63,-111.68,AB,WVI,
590,720,Masinasin Agdm,49.14,-111.65,AB,XMN,Mansinasin Coutts
591,246,Sheerness Agcm,51.46,-111.65,AB,PXS,
592,199,Patricia Agcm,50.74,-111.62,AB,PPT,
593,499,Mildred Lake,57.04,-111.56,AB,WMX,Mildred Lake Tar Island
594,174,Kinsella Researc Station,53.05,-111.55,AB,PKR,
595,694,Foremost Agdm,49.48,-111.49,AB,XFM,Foremost
596,111,Bellshill Agcm,52.58,-111.47,AB,PBL,Bellshill Hardisty
597,634,Bow Island,49.73,-111.45,AB,WXL,Bow Island
598,375,Coronation Climate,52.07,-111.45,AB,WCT,Coronation
599,220,St. Lina Agcm,54.28,-111.45,AB,PSL,St Lina Mallaig
600,192,Sunnynook Agcm,51.3,-111.39,AB,PNU,
601,245,Bow Island Irrigation Agdm,49.87,-111.38,AB,PXL,Bow Island
602,230,Tide Lake Agcm,50.46,-111.32,AB,PTE,
603,748,St. Paul Agcm,54.01,-111.27,AB,XSP,St Paul St. Paul
604,184,Mannville Agcm,53.46,-111.26,AB,PMA,Mannville
605,449,Lupin Cs,65.76,-111.25,NU,WIJ,Lupin
606,919,Fort Mcmurray,56.65,-111.22,AB,YMM,Fort McMurray
607,251,Youngstown Agcm,51.49,-111.22,AB,PYT,
608,719,Fort Mcmurray Cs,56.65,-111.21,AB,XMM,Fort McMurray
609,157,Hemaruka Agcm,51.78,-111.21,AB,PHE,Hemaruka Veteran
610,247,Ralston Agcm,50.1,-111.21,AB,PXX,
611,101,Albert Hall Agcm,53.11,-111.18,AB,PAH,Albert Hall Irma
612,1144,Athabasca,53.11,-111.18,AB,YWM,
613,196,Pakowki Lake Agcm,49.22,-111.13,AB,PPL,Pakowki Lake Gahern
614,949,Fort Chipewyan,58.77,-111.12,AB,YPY,Fort Chipewyan
615,124,Fort Chipewyan Rcs,58.77,-111.12,AB,PCH,
616,1179,Fort Mackay,58.77,-111.12,AB,YNR,
617,169,Kessler Agcm,52.29,-111.11,AB,PKA,Kessler Hughenden
618,188,Myrnam Agcm,53.72,-111.11,AB,PMN,Myrnam Slawa
619,1235,Whitecourt,52.83,-111.1,AB,XZU,
620,139,Etzicom Agcm,49.55,-111.05,AB,PET,Etzicom Etzikom
621,256,Pinhorn Agcm,49.03,-111.03,AB,PZN,
622,102,Atlee Agcm,50.81,-111.01,AB,PAT,Atlee
623,1146,Banff,50.81,-111.01,AB,YBA,
624,226,Seven Persons Agdm,49.92,-110.92,AB,PSY,
625,758,Vermilion Agdm,53.34,-110.88,AB,XYM,
626,1230,Violet Grove,53.34,-110.88,AB,XVG,
627,135,Dupre Agcm,54.37,-110.87,AB,PDU,Dupree Pelican Narrows
628,1160,Edmonton,54.37,-110.87,AB,WNT,
629,122,Cereal Agcm,51.28,-110.82,AB,PCE,
630,1231,Vulcan,53.36,-110.82,AB,WUN,
631,128,Cappon,51.07,-110.8,AB,PCN,
632,148,Gooseberry Lake Agcm,52.11,-110.8,AB,PGB,
633,159,Hughenden Agcm,52.58,-110.78,AB,PHU,Hughenden Czar
634,217,Sedalia Agcm,51.59,-110.75,AB,PSA,Sedalia Cereal
635,1149,Breton Plots,54.3,-110.74,AB,WOV,
636,1046,Medecine Hat,50.02,-110.72,AB,YXH,Medicine Hat
637,723,Medicine Hat Rcs,50.03,-110.72,AB,XMW,Medicine Hat
638,679,Consort Agdm,51.94,-110.71,AB,XCS,Consort
639,242,Buffalo Agcm,50.8,-110.69,AB,PXB,
640,907,Lutselk'E,62.42,-110.68,NT,YLK,Lutselk'e Lutselke Snowdrift
641,185,Manyberries Agcm,49.36,-110.68,AB,PMB,Manyberries
642,150,Gilt Edge North Agcm,53.07,-110.62,AB,PGE,Gilt Edge North Paradise Valley
643,1182,Grande Cache,53.07,-110.62,AB,WAM,
644,133,Dewberry Agcm,53.66,-110.59,AB,PDB,Dewberry
645,80,Lindbergh Agdm,53.94,-110.58,AB,NLB,Lindbergh
646,1189,Manning,53.94,-110.58,AB,WAI,
647,120,Cadogan Agcm,52.33,-110.51,AB,PCA,Cadogan Provost
648,118,Bull Springs Agcm,50.34,-110.48,AB,PBU,
649,518,Onefour Cda,49.12,-110.47,AB,WOE,Onefour Fox Crossing
650,688,Egg Island,58.98,-110.44,AB,XEL,Egg Island
651,1172,Empress,58.98,-110.44,AB,YEA,
652,136,Edgerton Agcm,52.78,-110.43,AB,PEA,Edgerton
653,171,Kitscoty Agcm,53.35,-110.42,AB,PKI,Kitscoty
654,254,Kirriemuir Agcm,51.91,-110.36,AB,PZK,
655,731,Oyen Agdm,51.38,-110.35,AB,XOY,Oyen
656,183,Lodge Creek,49.46,-110.34,AB,PLZ,
657,214,Ribstone South Agcm,52.59,-110.34,AB,PRS,Ribstone South Dunn
658,99,Acadia Valley,51.07,-110.32,AB,PAC,Acadia Valley
659,161,Irvine Agcm,49.99,-110.26,AB,PIA,Irvine Walsh
660,1187,Jasper,49.99,-110.26,AB,YJA,
661,434,Esther 1,51.67,-110.21,AB,WGY,Esther Loverna
662,197,Social Plains Agcm,50.73,-110.21,AB,PPN,
663,664,Bodo Agdm,52.12,-110.1,AB,XBA,Bodo
664,205,Rivercourse Agcm,53.02,-110.1,AB,PRA,Rivercourse
665,744,Schuler Agdm,50.31,-110.09,AB,XSC,Schuler
666,234,Tulliby Lake Agcm,53.66,-110.08,AB,PTU,Tulliby Lake Onion Lake
667,909,Lloydminister,53.31,-110.07,AB,YLL,Lloydminster
668,1173,Evansburg,50.93,-110.01,AB,PEB,
669,439,Jimmy Lake Awos,54.91,-109.96,SK,WHN,Jimmy Lake Cold Lake
670,2071,Broadview,59.22,-109.7,SK,YDR,
671,609,Cypress Hills Park,49.64,-109.51,SK,WYP,Sturt Point North
672,2083,Elbow,49.64,-109.51,SK,YOK,
673,471,Leader Airport,50.91,-109.5,SK,WJX,Leader
674,497,Maple Creek,49.9,-109.47,SK,WMQ,Maple Creek
675,241,Waseca Rcs,53.13,-109.41,SK,PWX,
676,894,Kindersley,51.52,-109.18,SK,YKY,Kindersley
677,2094,La Ronge,51.52,-109.18,SK,YVC,
678,421,Fort Reliance (Aut),62.71,-109.17,NT,WFZ,Fort Reliance
679,164,Loon Lake Rcs,54.02,-109.14,SK,PIL,Cypress River
680,2097,Maple Creek,54.02,-109.14,SK,WMC,
681,1630,Camsell River,68.75,-109.07,NT,WOA,
682,397,Eastend Cypress (Aut),49.44,-108.99,SK,WEH,Eastend Cypress
683,592,Scott Cda,52.36,-108.83,SK,WTS,Saturna Island Waldron
684,1701,Ellice River,76.47,-108.77,NU,WEV,
